clean_text,sentiment_label
pengiriman cepat packing ok sayangnya berat enggak sampai,neutral
obat sesuai respon pengiriman cepat,positive
kiriman cepat packing rapi baru coba merk ini cocok,positive
okay seperti biasa trm kasih 😁😁,positive
gila order yang kesekian kali libur tetap di respon dan di antar mantap mantap mantebbb rekomendasi jangan ragu sama seller ini topp respon customer satisfactionnya puasssss,positive
produk sesuai kualitas ok paking rapi dan aman pengirimannya cepat harga ok banget trimakasih kak trimakasih tokopedia sukses selalu ⭐⭐⭐⭐⭐,positive
respon cepat tapi sayang kurir yang anter hanya naruh barang yang diantar di garasi tanpa info penerima,positive
baru coba varian yakin rasanya pasti enak sepert rasa varian yang laian lainnya,positive
berfungsi dengan baik mantap semoga aweet,positive
pengiriman lama tapi barang sesuai,positive
pengembalian dana kurang tidak sesuai dengan yang tercantum dengan harga barang,negative
keren sesuai deskripsi harga murah bisa langsung dipakai tanpa ribet enggak menyesal beli di toko ini,positive
respon cepat barang sesuai pesanan,positive
sudah sering beli di kopi ujung dan selalu puas dengan servisnya yang sat set sayang stock robusta premium tidak ada tapi ini pun boleh lah,positive
recommended for practice as beginner,positive
cocok untuk micro jig saran versi selanjutnya diberi pembatas hard biar lebih mudah lagi bahan kokoh,positive
pengiriman cepat,positive
good for that money nice tapi use and handy bag,positive
sudah langganan favorit kalo lagi myari rasa bbq 😋,positive
kualitas pengerjaan baik penggunaan tes kehamilan,positive
cepat dikirim bahan nya juga tebal dan kuat,positive
masker yang paling pas dipakai anakku motif nya juga lucu terimakasih,positive
bagus banget twsnya cakep joss deh audionya juga,positive
pengiriman cepat daging segar terima kasih,positive
paket diterima sesuai pesanan packagingnya aman dengan diskon ongkir terima kasih🙏,positive
di deskripsi ada tulisan bonus kenyataan tidak ada bonus,neutral
barang sesuai mantap,positive
thank youu kartunya lucu banget sudah dicoba cek dan pakai mbanking dan bisa 👍🏻,positive
murah,positive
pengiriman cepat kurir dan penjual ramah,positive
secara service oke banget tapi sayang kadang suka lemot di tempat tertentu,positive
dokter menyarankan tidak boleh lebih dari minggu dan keterangan kalian tidak ada,negative
mantap puas dengan kualitas nya,positive
packing aman dan kemasan masih disegel,positive
mantap sekali,positive
salah pilih ukuran silico case nya tapi overall bagus,positive
lampu nya kurang kan saya pesan lampu,negative
super enak membelikan buat anak malah mamanya pun doyan,positive
barang original packaging bagus seller helpful,positive
ini pas buka menempel loh jadi bikin permukaan matrasnya apa memang seperti ini dan sudah bersihin pakai pembersihnya enggak hilang juga🙄😥,neutral
selalu beli di tak offlinen sekarang mencoba beli di ol nya sama memuaskann mkasimkasi,positive
akhirnya sampai juga setelah bolak balik mengepoi tokonya menunggu restok warna ini,positive
pengiriman cepat banget enggak sampai jam pesanan sudah mendarat di rumah sayurnya segar masak jadi lebih gampang thanks seller,positive
produk baik sesuai pesanan expire lama masih respon pengemasan dan pengiriman baik meski beli saja promo tokopedia mantap sangat membantu dalat harga murah sukses selalu,positive
menu breakfast terfavorit manis dan gurihnya pas,positive
alhamdulillah pesanan saya sudah sampai pengiriman barang cepat sehari datang pengemasan aman cemilan favorit dari dulu padimas enak lembut manisnya pas rasa pandan sama coklat paling ku suka expired date aman terimakasih seller sukses selalu,positive
paketnya sudah sampai dan cepat dan baju ini bagus sekali nyaman jahitannya rapi top banget 👍🙏👍🙏 terima kasih,positive
maaf baru review barang sih cepat sampai sesuai spec accesoriesnya juga lengkap enggak kurang satu apapun sudah di tes nyala semua dan berfungsi dengan baik kualitas bagus orisinal semoga awet dan enggak bikin repot terima kasih tokonya mantap,positive
terlalu asin menurutku dan rasa tepung jagungnya terlalu kentara rasa keju bakarnya kurang nendang tidak bikin ketagihan secara keseluruhan menurutku kalah dengan tortilla corn chips merk,positive
beli pecah mati saya pikir nyalanya bakal lebih terang taunya redup sekali,neutral
enggak bisa berkata selain bagus produknya enggak menyesal beli di toko ini semua bagus cuma kurang bonus nya saja haha,positive
terima kasih dan sukses terus buat lapaknya,positive
coba dengan botol yang ada di rumah ternyata pas seller juga fast response banget mantap,positive
barang ternyata bulky dan cukup berat untuk menimpuk orang dijamin meringis hehe pengecasan sudah di test ini dan out aman terima kasih ya kak 🙏🏻,positive
penjual responsif insiatif komunikasinya baik pengiriman sangat cepat packaging sangat rapi dan aman barang berkualitas harga bersahabat sudah beli ke sekian kalinya di sini dan selalu puas,positive
sesuai pesanan pengiriman cepat kualitas segar,positive
kardusnya gede banget bubble wrap tebal pengiriman prosesnya cepat banget wanginya segar yang bunga ala spa begitu yang ijo kayak wangi citrus dan suka,positive
sesuai deskripsi proses dan pengiriman sangat cepat pesanan terpacking dengan aman sampai tujuan,positive
kualitas sangat tidak bagus bahan tipis tidak sesuai gambar dan tidak bisa dikaitkan cara pakainya membingungkan,negative
bagus,positive
respon cepat packing rapi dan aman barang sesuai pesanan expired masih lama dan cepat sampainya sudah cocok pakai produk ini aromanya segar lembut di baju dapat harga promo,positive
alhamdulillah barang sudah saya terima ssi ekspektasi ringan kondisi mulus dan setelah dicoba adjustable befungsi normal semoga awet tks rockbros excellence,positive
beli vacuum kebuka semua tapi gapapa,positive
roti enang memang juaraaa semua rasa enak banget enggak ada yang kemanisan rotinya lembut isinya pas sellernya juga ramah sukses terus ya,positive
barang sesuai dan cepat kirim rekomended seller terima kasih,positive
produk sepertinya sesuai sedikit beda dengan bila beli ikan gabus di pasar apa mungkin beda jenis seller responsif dan packing cepat packing super aman dengan extra bubble wrap recommended dan terimakasih seller,positive
terlalu banyak tepung rasa keras,neutral
barang sesuai diplatfom tebal,positive
ruarbiasa produk bagus … terimakasih banyak,positive
bagus,positive
packing rapi pengiriman cepat kurir baik,positive
kualitas barang luar biasa bagus,positive
di label harganya ternyata 🥲😅 bayarnya mungkin biaya pengemasan 🥲,neutral
packingnya aman jumlah sesuai pesanan fotonya enggak full karena sebagian langsung dimakan thank you seller dan kurir,positive
sesuai pesanan,positive
blok nya penyok saya lupa video unboxing,negative
good ukuran agak kekecilan buat tangan cowok tapi bahannya bisa ngestretch,positive
pengiriman dan respon ok barang di packing rapi recommend,positive
barang pengiriman seller ok semua,positive
langsung gass pakeeek dan enak ternyataaa,positive
rasanya super enak rasanya tidak terlalu manis dapat free tester lagi ☺️ tq seller,positive
super seller,positive
produk baik pengiriman baik seller responsif cocok banget buat kado,positive
paket di kirim tidak lengkap kekurangan produk di kirim setelah hari komplain menjanjikan freebies sebagai kompensasi tapi tidak di kirim juga,negative
kualitas produk cukup baik pengemasan baik pengiriman standar terima kasih hati hati para pembeli jangan percaya penuh pada tokopedia karena seringkali terbukti sebagai maling profesional yang seringkali manipulasi rekayasa diskriminasi akun pengguna pembeli lama dan penjuak supaya etalasenya tidak muncul ini kenyataan yang saya alami bukan hoaks terima kasih,positive
bagus enggak ada cacat mulus semua semoga awet cuman baru engah pola ditengah hexagram tapi jadi teringat kayak star davis 😆 haduhh rada ganggu pemandangan wkwk saya saja lah free palestine 🇵🇸,positive
barang oke pengiriman cepat banget,positive
masker paling bagus dan nyaman bernapas pun lega,positive
suka banget kalo belanja disini respon penjual cepat barang bagus pengiriman juga cepat pckingan aman barangnya juga real sesuai gambar,positive
barangnya masih bagus bungkusannya,positive
ukuranya pas pengiriman cepat bagus dah pokony,positive
sptnya bahan sama dengan merk lain cuma prodigo harga lebih murah untuk pengiriman bekasi bogor tak butuh waktu lama kemarin order sekarang deh sampai,positive
barang original kualitas bagus seller respon cepat kiriman juga cepat,positive
sesuai,positive
kekecilan dipakai usia tahun,positive
suka banget sama beras merah merk puregreen ini ini pembelian ku yang ke tiga kali nya dan akan repurchse terussss hehehe,positive
super enak masih baru karena masih empuk banget pengiriman by paxel super cepat packaging super aman,positive
bahan berkualitas nyaman digunakan dan menyerap keringat dengan baik respon seller sangat baik,positive
barang sesuai pesanan pokoknya mantull dhaa,positive
mantap langsung pasang,positive
paket telah tiba paket telah tiba paket telah tiba paket telah tiba paket telah tiba hore hore senangnya hatiku🤩,positive
produk diterima dalam keadaan baik dan kerannya mantap ini built qualitynya bukan kaleng kaleng pada saat ditutup ada seperti perasaan ngunci jadi untuk memastikan bahkan keran benar tertutup rapat dan air enggak menetes,positive
sesuai pesanan,positive
barang sudah kami terima,positive
barang sesuai deskripsi respon seller cepat harga murah packing kardus pengiriman cepat,positive
pengiriman cepat karyawannya ok harga bersaing pokok nya ok,positive
terima kasih tokopedia disaat kebutuhan telur dapat voucher discount gratis telur dari tokopedia gopay,positive
mantap terima kasih,positive
habis makan kfc garing enak micin bumbu bikin tenggorokan sakit enggak apa-apa ada strepsil,positive
salah item tapi sok far okay,positive
pelayanan cepat barang sesuai pesanan kualitas baik,positive
packing aman barang sesuai ini kali ke beli disinii terima kasih,positive
selalu suka dengan roti eneng pelayanan bagus dan rotinya juara,positive
paket sudah di tiba dengan trimaksih kurir dan resellernya,positive
untuk case ipad pro gen sangat bagus karena ada tempat buat pensilnya cuman agak berat case nya,positive
berkualitas,positive
beli nomor orbit yang dikirim malah yang lain sudah konfirmasi ke telkomsel katanya bukan nomor orbit rasanya kayak sudah ditipu deh,negative
alhamdulillah mantul pelayanannya cepat tidak hasilnya sesuai estimasi,positive
pemesanannya jelas dan pengirimannya cepat terima kasih 🙏🙏,positive
mantap sesuai realita semoga awett dengan hrg seginii semoga bisa repeat produk lainnya 👍👍👍👍👍 produknya original ukuran pas,positive
produk sesuai display 👍 packing super rapi dan aman 👍 respon penjual dan pengiriman cepat 👍,positive
nyap,positive
produk ok pengiriman cepat packing aman,positive
terbaik penjual amanah barang yang kurang dikirimkan terima kasih ya next order lagi,positive
beli barang ini atas saran fisioterapis disuruh dibawa ke terapi untuk diajari sendiri di rumah pakai resistance band ini hari ini dibawa ke terapi baru dipakai pertama kali sudah putus,negative
barangnya oke dan gampang dipakai buat pembersihan stik,positive
anak saya suka banget dan pengiminan nya juga cepat,positive
barang sudah saya terima dengan baik sesuai dengan pesanan pengiriman cepat harga normal terima kasih kak🙏👍😊,positive
respon cepat recommended seller sudah beli kedua kali nya di toko ini,positive
barang okelah semua tersegel dengan baik jadi kerasa aman saja semoga awetlah thanks,positive
sesuai pesanan sampai dengan selamat bagus tebal semoga awet mau beli lagi yang lebih besar bahan tebal ukuran dan,positive
produk original packaging bagus warna awet barang sesuai deskripsi recomended untuk produknya,positive
mantaab dikasih buble wrap tebeeelll banget padahal barang sekecil ini kan main prepare nya salute isi paket nya komplit banget pemasangan mudah dan cocok disaya yang pakai casing merek slimcase,positive
seperti biasanya respon cepat barang orisinal packing aman,positive
keren sih ini harganya murah tapi enggak murahan bahannya bagus thank you,positive
produk sesuai gambar produk dikemas dengan baik,positive
selalu puas dengan indofresco fast respon mantap,positive
enak empuk tapi rasa ini manis banget menurut saya,positive
pengiriman cepattt pengemasan baik barang sesuai harga terjangkau,positive
sesuai deskripsi produk berfungsi dengan baik packing aman 👍,positive
saya kasih ulasan keseluruhan barang sekaligus ya kualitas tak diragukan fresh dipackage aman tiba tepat waktu akan reorder tq👍🙏,positive
servic ok chat ok mantap lah👍👍,positive
bahan bagus tebal lembut ukuran lebih kecil dari yang merk lain pas untuk anak usia tahun kalo yang muka lebar kurang ok karena akan terlalu kencang,positive
barang sesuai,positive
bagus,positive
layanan seller cepat dan paketnya aman produknya ok banget,positive
bagus cuman sizenya agak besar dari size yang harusnya,positive
bahannya bagus banget dan pas beli ada promo dapat set,positive
stylish dan keren tebal dan nyaman,positive
buat charge di mobil enak banget cepat,positive
pas dikaki…recommended seller⭐️⭐️⭐️⭐️⭐️ next order lagi👍,positive
packing rapi sangat aman semoga saja bisa dipakai belum dicoba,positive
mantap kartunya bisa dicetak di printer rfid👍👍👍,positive
yang di kirim lem korea lem,negative
daging samcan nya sudah sampai dengan aman dan selamat👍 sesuai pesanan dan pengiriman cepat👍 terima kasih kak🙏,positive
barangnya sudah sampai kemarin packing rapi tangganya sudah dicoba ringan tapi kokoh,positive
berfungsi dengan baik mesin akan mati setelah menit dan kemudian nyala lagi awet untuk pestisida,positive
cukup puas belanja sini barang semua bagus tidak mengecewakan,positive
bahan oke,positive
kualitas premium 🏆 senarnya kuat,positive
ternyata tipis handuk matras nya,positive
bahannya bagus banget tapi ukurannya agak ngepas saran upsize ya,positive
bagus barangnya packingnya juga aman barangnya berfungsi dengan baik terima kasih,positive
barangnya bagus cuma kendali di pengiriman ekspedisinya silambat agak kureng,positive
enggak saya recommended bola keras susah mantul,negative
mantap toko langganan kalo beli daging di kelapa gading,positive
mantap,positive
bagus,positive
bagus material cukup lembut original dikasih free pentil molten hanya saja datang banyak kerutan harusnya sih kelamaan pakai aman mulus no kerut nice👌,positive
sesuai deskripsi ada bonusnya thanks,positive
beli tas dapat powerbank mousepad gantungan kapan lagi ya 🤣🤣,positive
bahan tebal pengiriman cepat,positive
gercep banget sellernya kiriman untuk ponakanku selalu cepat sampainya dan barang tiba dengan baik dan bagus kwalitasnya terima kasih ya,positive
power bank datang aman kondisi baik dan semua fitur berfungsi normal,positive
produk bagus dan packaging rapi aman terima kasih,positive
barang sesuai dengan deskripsi,positive
🙌🏻🙌🏻🙌🏻🙌🏻🙌🏻🙌🏻🙌🏻🙌🏻🙌🏻🙌🏻🙌🏻🙌🏻,positive
masih retak walaupun sudah dibungkus dengan buble tks,positive
bahan bagus tebal nya cukup enggak bikin sakit antislip tapi belum tau kalo untuk dipakai gerakan yang lebih ekstrim atau lebih berkeringat packing amann produk sesuai enggak ada yang lecet atau penyok warnanya juga bagus banget birunya cerah agak soft begitu pengiriman cepat karena langsung dikirim,positive
baru kali ini terima paket mi dari wings official store bau sabun semuanya sampai ke setiap kemasannya licin entah sabun colek sabun lain yang bocor di gudang dari waktu buka paketnya sampai ngecekin setiap kemasannya baunya sabun banget ditambah setiap kemasan minya remuk enggak ada sticker sku seperti biasanya amp parahnya lagi expired dekat semua desember management penyimpanan gudangnya perlu ditingkatkan biar enggak ada lagi kejadian macam ini pekerjaan harus ngelapin setiap kemasannya,negative
cocok untuk workout dijamin termurah berfungsi dengan baik,positive
barang sesuai packing aman sampai dengan selamat,positive
sangant bermanfaat barang sesuai deskripsi respon bagus kiriman cepat,positive
barang ok pengiriman cepat packing rapi thankyou,positive
keren,positive
sesuai deskripsi ukuran dan warna pas bagus,positive
sudah langganan sama bantai nugetnya enak yang didoyanin anak 😆 pelayanan super cepat mantaaab,positive
produk sudah ditrima dalam kondisi baik respon penjual cepat mutu produk sesuai yang diharapkan,positive
sukses terus produk lokal semoga bisa meningkatan segala galanya,positive
favorit ibunda nih 😉 rotinya lembut isinya juga enggak pelit amp banyak recommended buat dibeli 👍🏼,positive
alhamdulillah terima kasih kak paketnya sudah sampai pad nya bagus banget 🥰🥰 rekoment banget untuk beli disini,positive
barang nya lah sampai bagus dan semogah awet,positive
terimakasih,positive
kualitas produk baik kecepatan pengiriman baik terimakasih,positive
barang bagus sesuai deskripsi,positive
